,trade_dt_x,wind_code,CITICS_IND_CODE
2442,2019-09-30,000059.SZ,b101020100
2443,2019-10-31,000059.SZ,b101020100
2492,2019-01-31,000060.SZ,b103020200
2493,2019-02-28,000060.SZ,b103020200
2494,2019-03-29,000060.SZ,b103020200
2495,2019-04-30,000060.SZ,b103020200
2496,2019-05-31,000060.SZ,b103020200
2497,2019-06-28,000060.SZ,b103020200
2498,2019-07-31,000060.SZ,b103020200
2499,2019-08-30,000060.SZ,b103020200
2500,2019-09-30,000060.SZ,b103020200
2501,2019-10-31,000060.SZ,b103020200
2550,2019-01-31,000061.SZ,b10k010300
2551,2019-02-28,000061.SZ,b10k010300
2552,2019-03-29,000061.SZ,b10k010300
2553,2019-04-30,000061.SZ,b10k010300
2554,2019-05-31,000061.SZ,b10k010300
2555,2019-06-28,000061.SZ,b10k010300
2556,2019-07-31,000061.SZ,b10k010300
2557,2019-08-30,000061.SZ,b10k010300
2558,2019-09-30,000061.SZ,b10k010300
2559,2019-10-31,000061.SZ,b10k010300
2607,2019-01-31,000062.SZ,b10n010200
2608,2019-02-28,000062.SZ,b10n010200
2609,2019-03-29,000062.SZ,b10n010200
2610,2019-04-30,000062.SZ,b10n010200
2611,2019-05-31,000062.SZ,b10n010200
2612,2019-06-28,000062.SZ,b10n010200
2613,2019-07-31,000062.SZ,b10n010200
2614,2019-08-30,000062.SZ,b10n010200
2615,2019-09-30,000062.SZ,b10n010200
2616,2019-10-31,000062.SZ,b10n010200
2665,2019-01-31,000063.SZ,b10q020600
2666,2019-02-28,000063.SZ,b10q020600
2667,2019-03-29,000063.SZ,b10q020600
2668,2019-04-30,000063.SZ,b10q020600
2669,2019-05-31,000063.SZ,b10q020600
2670,2019-06-28,000063.SZ,b10q020600
2671,2019-07-31,000063.SZ,b10q020600
2672,2019-08-30,000063.SZ,b10q020600
2673,2019-09-30,000063.SZ,b10q020600
2674,2019-10-31,000063.SZ,b10q020600
2723,2019-01-31,000065.SZ,b107010100
2724,2019-02-28,000065.SZ,b107010100
2725,2019-03-29,000065.SZ,b107010100
2726,2019-04-30,000065.SZ,b107010100
2727,2019-05-31,000065.SZ,b107010100
2728,2019-06-28,000065.SZ,b107010100
2729,2019-07-31,000065.SZ,b107010100
2730,2019-08-30,000065.SZ,b107010100
2731,2019-09-30,000065.SZ,b107010100
2732,2019-10-31,000065.SZ,b107010100
2780,2019-01-31,000066.SZ,b10r010100
2781,2019-02-28,000066.SZ,b10r010100
2782,2019-04-30,000066.SZ,b10r010100
2783,2019-05-31,000066.SZ,b10r010100
2784,2019-06-28,000066.SZ,b10r010100
2785,2019-07-31,000066.SZ,b10r010100
2786,2019-08-30,000066.SZ,b10r010100
2787,2019-09-30,000066.SZ,b10r010100
2788,2019-10-31,000066.SZ,b10r010100
2835,2019-01-31,000068.SZ,b104020100
2836,2019-03-29,000068.SZ,b104020100
2837,2019-04-30,000068.SZ,b104020100
2838,2019-05-31,000068.SZ,b104020100
2839,2019-06-28,000068.SZ,b104020100
2840,2019-07-31,000068.SZ,b104020100
2841,2019-08-30,000068.SZ,b104020100
2842,2019-09-30,000068.SZ,b104020100
2843,2019-10-31,000068.SZ,b104020100
2892,2019-01-31,000069.SZ,b10n010200
2893,2019-02-28,000069.SZ,b10n010200
2894,2019-03-29,000069.SZ,b10n010200
2895,2019-04-30,000069.SZ,b10n010200
2896,2019-05-31,000069.SZ,b10n010200
2897,2019-06-28,000069.SZ,b10n010200
2898,2019-07-31,000069.SZ,b10n010200
2899,2019-08-30,000069.SZ,b10n010200
2900,2019-09-30,000069.SZ,b10n010200
2901,2019-10-31,000069.SZ,b10n010200
2949,2019-01-31,000070.SZ,b10q020700
2950,2019-02-28,000070.SZ,b10q020700
2951,2019-03-29,000070.SZ,b10q020700
2952,2019-04-30,000070.SZ,b10q020700
2953,2019-05-31,000070.SZ,b10q020700
2954,2019-06-28,000070.SZ,b10q020700
2955,2019-07-31,000070.SZ,b10q020700
2956,2019-08-30,000070.SZ,b10q020700
2957,2019-09-30,000070.SZ,b10q020700
2958,2019-10-31,000070.SZ,b10q020700
3006,2019-01-31,000078.SZ,b10i040100
3007,2019-03-29,000078.SZ,b10i040100
3008,2019-04-30,000078.SZ,b10i040100
3009,2019-05-31,000078.SZ,b10i040100
3010,2019-06-28,000078.SZ,b10i040100
3011,2019-07-31,000078.SZ,b10i040100
3012,2019-08-30,000078.SZ,b10i040100
3013,2019-09-30,000078.SZ,b10i040100
3014,2019-10-31,000078.SZ,b10i040100
3063,2019-01-31,000088.SZ,b10o010100
3064,2019-02-28,000088.SZ,b10o010100
3065,2019-03-29,000088.SZ,b10o010100
3066,2019-04-30,000088.SZ,b10o010100
3067,2019-05-31,000088.SZ,b10o010100
3068,2019-06-28,000088.SZ,b10o010100
3069,2019-07-31,000088.SZ,b10o010100
3070,2019-08-30,000088.SZ,b10o010100
3071,2019-09-30,000088.SZ,b10o010100
3072,2019-10-31,000088.SZ,b10o010100
3121,2019-01-31,000089.SZ,b10o040200
3122,2019-02-28,000089.SZ,b10o040200
3123,2019-03-29,000089.SZ,b10o040200
3124,2019-04-30,000089.SZ,b10o040200
3125,2019-05-31,000089.SZ,b10o040200
3126,2019-06-28,000089.SZ,b10o040200
3127,2019-07-31,000089.SZ,b10o040200
3128,2019-08-30,000089.SZ,b10o040200
3129,2019-09-30,000089.SZ,b10o040200
3130,2019-10-31,000089.SZ,b10o040200
3179,2019-01-31,000090.SZ,b107010100
3180,2019-02-28,000090.SZ,b107010100
3181,2019-03-29,000090.SZ,b107010100
3182,2019-04-30,000090.SZ,b107010100
3183,2019-05-31,000090.SZ,b107010100
3184,2019-06-28,000090.SZ,b107010100
3185,2019-07-31,000090.SZ,b107010100
3186,2019-08-30,000090.SZ,b107010100
3187,2019-09-30,000090.SZ,b107010100
3188,2019-10-31,000090.SZ,b107010100
3236,2019-01-31,000096.SZ,b101020400
